id,user_id,event_id,star_rating
242,oeanBuzsSRctUcoqxR4obFAnWYw1,29,4
243,SGjEPiOfupaJ6lQPpSNprbIMXVE3,29,5
294,yH95c1I2UpXnUcbxgCqRBYv06HG2,30,3
245,OqlG5d08ERbxhD4Kcj9rMZdF0rB3,29,4
247,kRqzi4ETFbf2XL2I8eug6X3FCyG2,25,4
250,2tXULOvgfRUX0NY9k9Q78KbN2zg1,25,5
251,1vdFZhHTo7agp4JUTsxt65aeap23,25,4
254,wnJf8vJVx2XjG1JV5E12uWHb0c03,25,4
257,Trhkl7RTnBZLaTuDf1KhPleCScz1,25,3
260,Fgmcy2HTx7Of8NlEsDHWiD0fzZW2,25,5
261,DwdbXLxXLVd2H30ajtZjQTm5qRw1,25,4
262,ykdGhZsMI4N03O5WqkpI5OtPbRz1,25,4
263,srs2JWCXCPTtDFVvm3jHkgOxLbs2,25,3
264,Hd1lqdSHeyOJS8h9RP294o7ZC222,25,1
268,EVoO0EWHMDgLTu1QZCUoupNPiBb2,33,1
272,aGMEECO6eacMA5OtgOE7D0Xz4eD2,33,5
275,8HabFAObzRV3S3Y7L29dADu5TkB2,33,5
277,zD6QSao8ZJVmqxTZslPyYUIYai22,33,5
278,JyHYWTPH8tR3Ztyni87rNe6FNWX2,33,3
284,aG6f6AbdLaUeIe8Ok9b1TQjH7El2,30,5
287,XtUifilPv7edrqPTQg1tIb6vfs22,30,3
290,oFbLnpP68EPfpIAL2bsMfsh6b9x1,30,5
296,YlJOZJzUVTf8oRoRmzWj8KMQFQh2,30,5
299,z8pzIfbT2EN2kMgQrKYhiKWS00H2,26,5
301,JzozPlyAhyYAJstAJSESFPEyMtx1,26,5
303,FPOImzKLRAednqApFACVADIvZ9F2,26,3
304,ILSySfE2U3SW6rtlOMHpzcuzEc02,26,3
305,3e8uZjrH0JfvcBCv6wVjxq6ZRb62,26,5
306,iQOtYDZUw7dkoZq2IXV1w1Y0lXy2,26,4
308,HwV8BqSMR7NPZ7hQ5iXAFW3GFeh1,26,4
309,bQPxUuGzxvVFEYKrD2V2IgPBt0p1,26,5
323,TUFhcjnTXuR9qaYbTKHuGrlftvA3,31,3
372,HldXjWbkD7U7una2h8qXXeqlHPB2,36,5
328,BbwZIGlW6HboHFFNJHdTkTruxfA2,34,4
330,8sv1ZRgqqgWs9LtzE3TI9gEf1Jj2,34,5
335,rXLSNXN74uRPAGti3MC1CpgNyvk2,34,5
336,tbKoiCYVG4gXcKt49pCORYtwswz2,34,5
339,WTOUBxTcnNef1VQPCFXoEdgGyFz2,34,5
344,oMx97oPA6zfUTTVrGvHOFPq1SWw1,34,5
346,GaT9yYz62JM7HC33iTfUlUtlsly1,34,5
348,z8pzIfbT2EN2kMgQrKYhiKWS00H2,27,5
349,YJeQjFJyUpXw94dIt3cOI1MGPWM2,27,5
350,5hDnKdMu2lThXtRHxt2pB2g1fPu2,27,3
353,SQvs8TfVyQRA1kF6Lwdcexe4Qh13,27,3
